"Reference","Value","Datasheet","Footprint","Qty","DNP"
"J1,J2","Conn_01x06_Socket","~","Connector_Molex:Molex_Mini-Fit_Jr_5566-06A2_2x03_P4.20mm_Vertical","2",""
"J3,J4,J5","Conn_01x04_Socket","~","Connector_Molex:Molex_Mini-Fit_Jr_5566-04A2_2x02_P4.20mm_Vertical","3",""
"J6,J7","Conn_01x02_Socket","~","Connector_Molex:Molex_Mini-Fit_Jr_5566-02A2_2x01_P4.20mm_Vertical","2",""
"R1","1.5K","~","","1",""
"R2","2K","~","","1",""
"R3,R4","R_US","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"RN1,RN2,RN3,RN4,RN5,RN6,RN7,RN8","VoltageDivider","~","voltagedivider:Voltage_Divider","8",""
"U1","Teensy4.1","","teensy:CONN_4848-6000-CP_3MM","1",""
"U2","LM1117DT-1.8","http://www.ti.com/lit/ds/symlink/lm1117.pdf","Package_TO_SOT_SMD:TO-252-3_TabPin2","1",""
"U3,U4","SN65HVD230","http://www.ti.com/lit/ds/symlink/sn65hvd230.pdf","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","2",""
